"method","n_residuals","mean","sd","skewness","kurtosis","ljung_box_stat","ljung_box_pval","ljung_box_lag","jarque_bera_stat","jarque_bera_pval","shapiro_wilk_stat","shapiro_wilk_pval","arch_stat","arch_pval"
"CSS",1249,0.0144608991480395,1.88034190961156,-0.75904814369429,5.85793831323667,103.705626327445,1.76854134670279e-08,36,1905.76883194654,0,0.94030364872899,5.23844926239446e-22,17.7725204831206,2.66930311908671e-05
"PMM2",1249,0.0131218516059151,1.88099040263101,-0.762380281900546,5.90584066241325,102.733913345301,2.46021674144004e-08,36,1936.15029311308,0,0.940203836161188,5.03107623979413e-22,16.1921057486484,6.06786645090907e-05
