"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction"
"ARIMA(0,1,1)","Gaussian",500,"CSS","theta1",-0.00181644559617759,0.00154568224965488,0.00154820888313392,0.0393472855878766,2000,2000,1,0
"ARIMA(0,1,1)","Gaussian",500,"PMM2","theta1",-0.00164735872040569,0.00199859346634637,0.00200030796036689,0.0447248025190374,2000,2000,0.77398526317415,-29.3017026489515
"ARIMA(0,1,1)","Gamma",500,"CSS","theta1",-0.00123194755173781,0.00157015815331438,0.00157089076900795,0.0396344644092481,2000,2000,1,0
"ARIMA(0,1,1)","Gamma",500,"PMM2","theta1",0.0011294775671762,0.00121210637136346,0.00121277603775253,0.034824934138524,2000,2000,1.29528513106102,22.8035488778709
"ARIMA(0,1,1)","Lognormal",500,"CSS","theta1",-0.000650914499126643,0.0015124360206568,0.00151210349233165,0.0388857749354651,2000,2000,1,0
"ARIMA(0,1,1)","Lognormal",500,"PMM2","theta1",0.00193581491791684,0.00113205527195903,0.00113523662371948,0.0336932726774868,2000,2000,1.33197208470725,25.1502042732748
"ARIMA(0,1,1)","Chi-squared",500,"CSS","theta1",-0.000716848731695021,0.00156325446456975,0.0015629867094416,0.0395346267143323,2000,2000,1,0
"ARIMA(0,1,1)","Chi-squared",500,"PMM2","theta1",0.00110709413960803,0.00111371190771784,0.00111438070919794,0.0333823412779562,2000,2000,1.40256080937236,28.7568381885693
