"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction"
"ARIMA(1,1,1)","Gamma",500,"CSS","phi1",-0.0378336657778934,0.0269690294370839,0.0283869311885587,0.168484216437501,2000,2000,1,0
"ARIMA(1,1,1)","Gamma",500,"CSS","theta1",0.0398208143812516,0.0330906060159849,0.034659757970963,0.18617131350174,2000,2000,1,0
"ARIMA(1,1,1)","Gamma",500,"PMM2","phi1",-0.00343453731754264,0.0187190673787356,0.0187215038916318,0.136826546735755,2000,2000,1.51627408529115,30.590504109889
"ARIMA(1,1,1)","Gamma",500,"PMM2","theta1",0.00346537162377543,0.0234517400592215,0.0234520229896828,0.153140533464145,2000,2000,1.47790056261717,29.1287078638184
"ARIMA(1,1,1)","Gamma",500,"M-EST","phi1",NA,NA,NA,NA,0,2000,NA,NA
"ARIMA(1,1,1)","Gamma",500,"M-EST","theta1",NA,NA,NA,NA,0,2000,NA,NA
"ARIMA(1,1,1)","Lognormal",500,"CSS","phi1",-0.0265761349278516,0.0227383555915311,0.0234332773614387,0.153079317222931,2000,2000,1,0
"ARIMA(1,1,1)","Lognormal",500,"CSS","theta1",0.0264906654384809,0.0276315026649901,0.0283194422690311,0.168283814637746,2000,2000,1,0
"ARIMA(1,1,1)","Lognormal",500,"PMM2","phi1",0.00903538175801492,0.0163617073922844,0.0164351646621013,0.128199706170105,2000,2000,1.4258011917261,28.0435767378961
"ARIMA(1,1,1)","Lognormal",500,"PMM2","theta1",-0.0093008989139394,0.0203799633829386,0.0204562801218545,0.143025452706343,2000,2000,1.38438866208016,26.2437384241118
"ARIMA(1,1,1)","Lognormal",500,"M-EST","phi1",NA,NA,NA,NA,0,2000,NA,NA
"ARIMA(1,1,1)","Lognormal",500,"M-EST","theta1",NA,NA,NA,NA,0,2000,NA,NA
"ARIMA(1,1,1)","Chi-squared",500,"CSS","phi1",-0.0307632836488685,0.025299077128935,0.0262328072112312,0.161965450671528,2000,2000,1,0
"ARIMA(1,1,1)","Chi-squared",500,"CSS","theta1",0.0312775975694384,0.0307795202399129,0.0317424185895087,0.178164021591085,2000,2000,1,0
"ARIMA(1,1,1)","Chi-squared",500,"PMM2","phi1",0.00598849784501876,0.0176970476112844,0.0177240611939185,0.133131743750011,2000,2000,1.48006751523924,30.048643588489
"ARIMA(1,1,1)","Chi-squared",500,"PMM2","theta1",-0.00518901459124778,0.0218122344552034,0.021828254210404,0.147743880449933,2000,2000,1.45418952352036,29.1339361848833
"ARIMA(1,1,1)","Chi-squared",500,"M-EST","phi1",NA,NA,NA,NA,0,2000,NA,NA
"ARIMA(1,1,1)","Chi-squared",500,"M-EST","theta1",NA,NA,NA,NA,0,2000,NA,NA
