"distribution","true_skewness","residual_skewness_mean","residual_skewness_sd","residual_kurtosis_mean","residual_kurtosis_sd","replicates"
"Gaussian",0,0.00139743287952628,0.109328091794065,-0.00157895093369075,0.22074440193237,2000
"Gamma",1.4142135623731,1.38585505371336,0.230131765501688,2.80665290744309,1.64939451356724,2000
"Lognormal",2.00006478899813,1.90345739965094,0.535590197858462,6.6707199481192,6.21423845947995,2000
"Chi-squared",1.63299316185545,1.60184014479186,0.263418772021896,3.75185972886464,2.08172351164934,2000
