"distribution","RE_N100","RE_N200","RE_N500","RE_N1000"
"Gaussian",0.947917135703367,0.971990209039056,0.976856231073719,0.98708359720021
"Gamma",1.60556559530744,1.65120596982197,1.74533057867739,1.62718111765302
"Lognormal",1.75918579112025,1.72628304902617,1.7149993513975,1.73672721920278
"Chi-squared",1.77710014549591,1.83319575219374,1.88014575006459,1.81827769803608
