"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction"
"ARIMA(1,1,0)","Lognormal",200,"CSS","phi1",-0.00533009646381499,0.00239369281672212,0.00242090589862733,0.0492027021476192,2000,2000,1,NA
"ARIMA(1,1,0)","Lognormal",200,"OLS","phi1",-0.00533001634234511,0.00239367696947805,0.00242088920520298,0.0492025325080222,2000,2000,1.00000689557552,0
"ARIMA(1,1,0)","Lognormal",200,"PMM2","phi1",0.00114632489766584,0.0014017674464502,0.00140238062349799,0.037448372775035,2000,2000,1.72628304902617,41.4387377944376
"ARIMA(1,1,0)","Lognormal",200,"M-EST","phi1",-0.00206124959913938,0.00199879461661249,0.00200204396921413,0.0447442059848438,2000,2000,1.20921714800181,16.4968940212374
"ARIMA(1,1,0)","Lognormal",500,"CSS","phi1",-0.00311661994614456,0.0010096816426681,0.00101889012173547,0.0319200582978082,2000,2000,1,NA
"ARIMA(1,1,0)","Lognormal",500,"OLS","phi1",-0.00311628776493959,0.00100968219938126,0.00101888860771549,0.0319200345819908,2000,2000,1.00000148595242,0
"ARIMA(1,1,0)","Lognormal",500,"PMM2","phi1",-0.000509853582543446,0.000594142372448565,0.000594105251937973,0.0243742743879274,2000,2000,1.7149993513975,41.1555068701164
"ARIMA(1,1,0)","Lognormal",500,"M-EST","phi1",-0.00205991600710859,0.000800505053494096,0.00080434805492369,0.0283610305687873,2000,2000,1.26672789907118,20.7171272322472
"ARIMA(1,1,0)","Lognormal",1000,"CSS","phi1",-0.00108124450013485,0.0005014729090015,0.00050239126221607,0.0224140862453965,2000,2000,1,NA
"ARIMA(1,1,0)","Lognormal",1000,"OLS","phi1",-0.00108125663711637,0.00050147780679073,0.000502396183802643,0.0224141960329306,2000,2000,0.999990203773972,0
"ARIMA(1,1,0)","Lognormal",1000,"PMM2","phi1",0.000143383873365781,0.000289398850220542,0.000289274709730573,0.0170080777788254,2000,2000,1.73672721920278,42.2907960628235
"ARIMA(1,1,0)","Lognormal",1000,"M-EST","phi1",-0.000307717435189355,0.000395495259734022,0.000395392202124075,0.0198844713815599,2000,2000,1.27061499826549,21.1340453399036
"ARIMA(1,1,0)","Chi-squared",100,"CSS","phi1",-0.0110279115773196,0.00526749861555701,0.0053864797000064,0.0733926406392794,2000,2000,1,NA
"ARIMA(1,1,0)","Chi-squared",100,"OLS","phi1",-0.0110275342054273,0.00526749696503949,0.00538646972720884,0.0733925726978476,2000,2000,1.00000185145338,0
"ARIMA(1,1,0)","Chi-squared",100,"PMM2","phi1",0.00330849589003687,0.00302161483342809,0.00303105017106578,0.0550549740810563,2000,2000,1.77710014549591,42.6366098835438
"ARIMA(1,1,0)","Chi-squared",100,"M-EST","phi1",-0.00499514035377171,0.0045235796872917,0.00454626932460194,0.0674260285394442,2000,2000,1.18481315456999,14.1227851232793
"ARIMA(1,1,0)","Chi-squared",200,"CSS","phi1",-0.00658482291361356,0.00263862391975606,0.00268066450059983,0.0517751339988593,2000,2000,1,NA
"ARIMA(1,1,0)","Chi-squared",200,"OLS","phi1",-0.00658481377965984,0.002638622121123,0.00268066258257524,0.0517751154762135,2000,2000,1.00000071550392,0
"ARIMA(1,1,0)","Chi-squared",200,"PMM2","phi1",0.000652100623905537,0.00146259643618119,0.0014622903731868,0.0382399055070328,2000,2000,1.83319575219374,44.5696894423554
"ARIMA(1,1,0)","Chi-squared",200,"M-EST","phi1",-0.00358364192344009,0.0021877113854035,0.00219946001914624,0.0468984010297391,2000,2000,1.21878300913166,17.0888711994726
"ARIMA(1,1,0)","Chi-squared",500,"CSS","phi1",-0.00266261678704009,0.00107069705681985,0.00107725123644607,0.0328215057004713,2000,2000,1,NA
"ARIMA(1,1,0)","Chi-squared",500,"OLS","phi1",-0.00266281733347627,0.00107069665513953,0.00107725190296343,0.0328215158541379,2000,2000,0.999999381279945,0
"ARIMA(1,1,0)","Chi-squared",500,"PMM2","phi1",3.6313774190687e-05,0.000573246861795021,0.000572961557054319,0.0239366154051553,2000,2000,1.88014575006459,46.4603854842233
"ARIMA(1,1,0)","Chi-squared",500,"M-EST","phi1",-0.00117170144475477,0.000841932143768521,0.000842884061972278,0.0290324656543718,2000,2000,1.27805386890979,21.3659499423018
"ARIMA(1,1,0)","Chi-squared",1000,"CSS","phi1",-0.000437315272751776,0.000501267110694947,0.000501207721787382,0.0223876689672548,2000,2000,1,NA
"ARIMA(1,1,0)","Chi-squared",1000,"OLS","phi1",-0.000437610894593078,0.000501268159550192,0.000501209028765484,0.0223876981569228,2000,2000,0.999997392349245,0
"ARIMA(1,1,0)","Chi-squared",1000,"PMM2","phi1",0.000408500701014325,0.000275620648394768,0.0002756497108933,0.0166027019154504,2000,2000,1.81827769803608,45.0153289923514
"ARIMA(1,1,0)","Chi-squared",1000,"M-EST","phi1",-0.000320483177645841,0.00039622693371941,0.000396131529719704,0.0199030532763117,2000,2000,1.26525581576914,20.9550963550209
