Model,CSS_Skewness,PMM2_Skewness,CSS_Kurtosis,PMM2_Kurtosis,Theoretical_RE_CSS,Theoretical_RE_PMM2,Avg_Theoretical_RE,MSE_Improvement_%_CSS,MSE_Improvement_%_PMM2,MSE_Improvement_%_Avg
"ARIMA(0,1,1)",-0.758,-0.763,5.859,5.912,1.0788755642852788,1.0794246142919257,1.0791500892886021,7.310904695253839,7.358051061678461,7.3344838752484875
"ARIMA(1,1,0)",-0.757,-0.762,5.847,5.906,1.078780981615081,1.079264953129923,1.079022967372502,7.302778131770104,7.3443460662787725,7.323566760115274
"ARIMA(1,1,1)",-0.761,-0.749,5.897,5.749,1.079137821218416,1.0780468945529904,1.0785923578857033,7.333430416613906,7.239656729900634,7.28656728476762
"ARIMA(2,1,1)",-0.688,-0.74,5.314,5.704,1.0691957028682628,1.0765189201274383,1.0728573114978506,6.471752802843856,7.107995846313598,6.79096005750589
"ARIMA(1,1,2)",-0.689,-0.741,5.334,5.711,1.0692085859169747,1.0766667425308776,1.0729376642239261,6.4728797382056165,7.1207495785241885,6.797940519376134
"ARIMA(2,1,2)",-0.697,-0.708,5.472,5.505,1.0695384652380675,1.071570944421663,1.0705547048298651,6.50172644539615,6.679067288474361,6.590481038619867
